objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0514.jpeg,,,Savante 'Savy',Red,2025-11-07,Red's character art for the Down Darker Trails Call of Cthulhu Campaign,Cowboys;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Red_IMG_1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_0967.jpeg,,,My Classmates,Adalai,2024-10-08,Adalai's character being introduced to the rest of the party,Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",Adalai_IMG_1,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_0002.jpeg,,,Lorraine Love,Caitlin,2024-11-17,A frontal portrait of Catilin's character Lorraine,Portrait;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_9090.jpeg,,,Great Sky General,Sage K.,2025-10-17,A painted miniture of a great warrior taking to the skys,Mini-painting;Warrior;,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Figurine,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_6248.jpeg,,,Constantine's Portrait,Rozanne Lorenzana,2024-10-5,A fictional portrait taken of Rozanne's Call of Cthulhu character,Portrait;Digital art;Call of Cthulhu;Not AI,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,,,,,,,,,"Bloomington, Indiana",,,"Discord, Dungeons and Dragons Club, Indiana University Bloomington",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,,,,,,,,,,,,,,,,,,
